slot,time_label,bsl_inbound_demand,bsl_outbound_demand,capacity,served_inbound,served_outbound,unmet_inbound,unmet_outbound,nrg_crowding,load_factor,service_level
0,18:00,2680,0,3060,2680,0,0,0,0,0.8757,max_event
1,18:15,3954,0,3060,3060,0,894,0,0,1.0,max_event
2,18:30,5219,0,3060,3060,0,2159,0,0,1.0,max_event
3,18:45,6166,0,3060,3060,0,3106,0,0,1.0,max_event
4,19:00,6518,0,3060,3060,0,3458,0,0,1.0,max_event
5,19:15,6166,0,3060,3060,0,3106,0,0,1.0,max_event
6,19:30,5219,0,3060,3060,0,2159,0,0,1.0,max_event
7,19:45,3954,0,3060,3060,0,894,0,0,1.0,max_event
8,20:00,2680,0,3060,2680,0,0,0,0,0.8757,max_event
9,20:15,1625,0,1836,1625,0,0,0,0,0.8853,enhanced
10,20:30,1164,0,1224,1164,0,0,0,0,0.9508,normal
11,20:45,282,0,1224,282,0,0,0,0,0.2301,normal
12,21:00,282,0,1224,282,0,0,0,0,0.2301,normal
13,21:15,282,0,1224,282,0,0,0,0,0.2301,normal
14,21:30,282,0,1224,282,0,0,0,0,0.2301,normal
15,21:45,282,0,1224,282,0,0,0,0,0.2301,normal
16,22:00,282,0,1224,282,0,0,0,0,0.2301,normal
17,22:15,282,0,1224,282,0,0,0,0,0.2301,normal
18,22:30,0,3132,1224,0,1224,0,1908,0,1.0,normal
19,22:45,0,3898,3060,0,3060,0,838,0,1.0,max_event
20,23:00,0,4557,3060,0,3060,0,1497,0,1.0,max_event
21,23:15,0,5005,3060,0,3060,0,1945,0,1.0,max_event
22,23:30,0,5164,3060,0,3060,0,2104,0,1.0,max_event
23,23:45,0,5005,3060,0,3060,0,1945,0,1.0,max_event
24,00:00 (+1),0,4557,3060,0,3060,0,1497,0,1.0,max_event
25,00:15 (+1),0,3898,3060,0,3060,0,838,0,1.0,max_event
26,00:30 (+1),0,3132,3060,0,3060,0,72,0,1.0,max_event
27,00:45 (+1),0,2364,3060,0,2364,0,0,0,0.7726,max_event
28,01:00 (+1),0,1677,3060,0,1677,0,0,0,0.5479,max_event
29,01:15 (+1),0,1117,3060,0,1117,0,0,0,0.365,max_event
30,01:30 (+1),0,699,3060,0,699,0,0,0,0.2284,max_event
31,01:45 (+1),0,411,3060,0,411,0,0,0,0.1343,max_event
32,02:00 (+1),0,227,3060,0,227,0,0,0,0.0741,max_event
33,02:15 (+1),0,118,3060,0,118,0,0,0,0.0385,max_event
34,02:30 (+1),0,57,3060,0,57,0,0,0,0.0187,max_event
35,02:45 (+1),0,26,3060,0,26,0,0,0,0.0086,max_event
36,03:00 (+1),0,11,3060,0,11,0,0,0,0.0037,max_event
37,03:15 (+1),0,5,3060,0,5,0,0,0,0.0015,max_event
38,03:30 (+1),0,2,3060,0,2,0,0,0,0.0006,max_event
39,03:45 (+1),0,1,3060,0,1,0,0,0,0.0002,max_event
